artist_id,name,popularity,followers,genres,img_url
5fx2gAF0dCFWULwx4TwQS0,Dalmiro Cuellar,38,6781,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b273396b59ce49fa4b14388dad5e
2KakzjX640aIT7kOSY4CTP,Efecto Mandarina,27,6417,['bolivian rock'],https://i.scdn.co/image/ab67616d0000b27372995a1de39bfe67974c698f
6q1CMwzwskr1MmhroO4KFG,Virus de Amor,32,6345,['cumbia boliviana'],https://i.scdn.co/image/625aa0e3a6aa8c07dd766c400eee3c1b307ced9f
7Id6e14ndbpmQCA4H5z48t,El Negro Palma,37,6205,['folklore boliviano'],https://i.scdn.co/image/ab67616d0000b273f96684b0719500754d6fe5d8
43dk20SKTmATixoiv0pKoz,Los Calchakis,35,6057,"['andean', 'andean flute', 'charango', 'nueva cancion']",https://i.scdn.co/image/ab67616d0000b2730c4c108873f6b786654704df
5tr9ik6zvne8ykaN5iC7Yk,Carlo Frigeri,27,6022,['indie boliviano'],https://i.scdn.co/image/cac63277172f1d0ba816e2e87ca423da277bc9ec
3yDgKSD5aLwGqpWVpwc0iP,Yuri Ortuño,28,5921,['andean'],https://i.scdn.co/image/ab67616d0000b27373e18b9a4f2812c5e093e246
3SW5LoCfMI2YqNC3dKVPVU,Grupo Bonanza Bolivia,33,5839,"['andean', 'folklore boliviano']",https://i.scdn.co/image/49a9cca351957569689efbee7e45b0f52f71f6d5
2MyrVjqQx2WwuswUpJ9TH3,Llegas,33,5603,"['bolivian rock', 'indie boliviano']",https://i.scdn.co/image/ab67616d0000b27355e1b13a9ee299da893ed650
3kDYHMy6GYj6ejaD2D6MTN,Awatiñas,28,5437,['andean'],https://i.scdn.co/image/ab67616d0000b273aae2b188cd31ef92c730442c
3Rd5uZJK7LV9xnCDIsUxYU,Maya Andina,27,5158,"['andean', 'folklore boliviano']",https://i.scdn.co/image/ab67616d0000b273e66d195ec073531619b88f05
62S3RF9l0ResGis6eMzcND,Grupo Bolivia,27,4985,"['andean', 'folklore boliviano']",https://i.scdn.co/image/ab67616d0000b2737459e982b747c4b35f513ded
0zeMCZBKizCfliQhG6rwGh,America Pop,0,4963,['cumbia boliviana'],
6yVxbzScbih8Uvyfrdhx17,Jach'a Mallku,31,4713,['andean'],https://i.scdn.co/image/ab67616d0000b273659540453f48d763ad748b9f
5xG49Z6oTxlm0cAT0kusXB,Fer Angell,32,4504,[],https://i.scdn.co/image/30c4b27da59d23f04e3c71a08b6ceca22428bfe8
