artist_id,name,popularity,followers,genres
5EMehJgr9m69BmO5I7fxZS,Orgasmo,9,580,['bolivian rock']
5nkGgqQmbOEnaHhzQk6Bzf,Confusión B.,5,13,[]
43dk20SKTmATixoiv0pKoz,Los Calchakis,35,6044,"['andean', 'andean flute', 'charango', 'nueva cancion']"
67ktO6WKPZ0h4cBxSBBoep,Grupo Nectar,53,185867,"['cumbia peruana', 'peruvian rock']"
3j3bELLniMh0KxbG3NePtD,Manuel Monroy Chazarreta,13,594,['folklore boliviano']
0HR1yy7m0uBvjnYpFJFGYF,Los Andaluces,10,180,['folklore boliviano']
4ANA9OGZWiV5TIUuQoG77R,Waliki,8,39,['salay']
0QE0OwxiJZ9i51N8zIS1Yy,Felinos,7,28902,['chunchaca']
7orfqbmT9JglVNcfXjv5bK,Pelo D' Ambrosio,0,46,[]
7zIWjoj6i2WCwUk2DVeDb3,Prana,1,495,['indie platense']
0hkFv9719WLJ2uupZTn0ru,Savia Andina,44,27731,"['andean', 'folklore boliviano']"
32SCJ5f4CGlRH7wTOhzyGn,Yara,21,302,[]
0LyfQWJT6nXafLPZqxe9Of,Various Artists,0,911077,[]
4otpYgHGWGKhfghlCo8bBh,Banda Intercontinental Poopó,16,623,[]
4P6BbGD4vPfePNs4iPKVcF,Zulma Yugar,30,3435,['andean']
6OAUJXe2dPNUp5eMkh1ErT,H3O,15,40,['indie boliviano']
6oieVNqVz70cI5skWedzO6,Anata Bolivia,21,602,['folklore boliviano']
6FunYPUx49EpvoGTfZmlpu,Bimbi,2,30,[]
2oM7LqPaoCUcHHHnsTtgn1,Bonny Lovy,47,35314,"['cumbia boliviana', 'pop reggaeton']"
30DQw23SjsbMLFlhia84jN,Elias Ayaviri,48,47069,['hip hop boliviano']
4EBLOxVwhNdq0BbTy0M6xN,Llajtaymanta,40,9818,"['andean', 'folklore boliviano', 'huayno']"
7sX8xqtBldHbgRz56Ymnus,Yuri Ortuño & La Nueva Proyección,13,2011,['folklore boliviano']
1S6elt0a8pmo996HL2y9Gz,Gaston Sosa,0,0,[]
0PuGi5xDkkBSp0VxPqAdwJ,Rodrigo Mc,3,3,[]
1wC9h4NVFRojVLCT4iqybd,Raul Shaw Moreno,21,1380,['bolero']
2EN1815G80EwjmqMfdzmLk,Luis Gutierrez,24,76,[]
4WU8VtPw3NbZz66e8eGCzY,Escuela Nacional de Saya del Perú,24,1776,['folklore peruano']
2h6aLldQBBQT14eZt0vXPU,Los Taitas,28,520,['chamame']
6eUAVH8tSq8WSJGPLeDN9c,Américo,59,195024,['cumbia chilena']
1Jvpk8cOcAn8rx1f40hCZt,K'achas,13,92,[]
6ZS2jERHjAaze5E4sDiz2V,Rumba 7,20,901,['cumbia boliviana']
4x1llnJ7cSsHeO8zikHQUg,Mallku De Los Andes,12,557,"['andean', 'folklore boliviano']"
26n3M4wRETNQgjtppLjdbA,Wara,21,666,['folklore boliviano']
29UmmLVRuyG1L1ulVLoW13,Joaquina (Rock),6,191,['bolivian rock']
5nKJLG3xb64HHvE1NihEah,Jorge Velosa,39,10397,"['colombian rock', 'folclor colombiano', 'musica llanera']"
1cKkCkJkKegHCRYx02lBI6,Antologia,52,80682,"['andean', 'classic peruvian pop', 'huayno', 'musica ayacuchana']"
7gCnk0Ivq35DH5hDeh9qTM,Juan Lovera,4,49,[]
58LNn3iNPmmHusH1EkyBm4,Maria Dolores Pradera,55,136410,"['bolero', 'cancion melodica', 'cantautor', 'flamenco', 'nueva cancion', 'ranchera', 'trova']"
15iMciFRFPNbdWYOTCnF6j,Orquesta Internacional Guachambe,35,2544,['cumbia boliviana']
1C6RdNDq2lP6PcBkPjeHBR,Mayra Gonzales,18,1675,['bolivian rock']
1hqVjBGt5Eb91laExZ58AQ,Sur Anonimo,7,7,[]
39RvzoLlcE0hQwbBqpqjKv,K'jarkas,0,710,[]
2CEKDXUTkOu4LnGFysySTg,Sebastian Mendoza,54,118216,['cumbia villera']
6Ghj6Q12zxmqh4thzM1kLg,Aymuray,8,87,[]
5ZAR5Usb11xw4KENbEE8uZ,Agua Marina,61,520635,"['cumbia peruana', 'pop peruano']"
0XHxkCFOev9OGFIRD2S3sr,Xavier Xk,6,0,[]
1pbcskpK1qePXm3sYvYu4o,Chila Jatun,42,14970,['andean']
0rFfH3dHJ9KgR4z4cJm5KD,Los Kory Huayras,28,1044,['folklore boliviano']
2MQn6Up6uv7IGeE9YgeVKP,Suke,7,207,['indie boliviano']
1sFOJ66EzaYXoNZyX1mTWs,Krauss,14,1043,['bolivian rock']
7d1wBAl5FEvOENbACiZIYZ,Pelo D'Ambrosio,44,38258,"['cumbia peruana', 'folklore peruano']"
0WnP62TjkFfRrt52yE8zcX,Lucas Sugo,61,199122,"['canto popular uruguayo', 'cumbia pop', 'cumbia uruguaya']"
6q1CMwzwskr1MmhroO4KFG,Virus de Amor,31,6320,['cumbia boliviana']
6DBvCN9S1NBzGSbs6drN62,MEGAPUESTA,0,8832,[]
5rWAewvYBngzuOdXeznVhl,Horizontes,24,1798,"['andean', 'folklore boliviano']"
12oiv7C4YZ3t7NxwewDaRC,Los Canarios del Chaco,24,651,['folklore boliviano']
1wkImvL5XLLhrNcmX7sVt4,Rodrigo Tapari,62,126042,['cumbia villera']
0zeMCZBKizCfliQhG6rwGh,America Pop,0,4964,['cumbia boliviana']
5fx2gAF0dCFWULwx4TwQS0,Dalmiro Cuellar,37,6752,['folklore boliviano']
1f8KqVQNiSJ95tiWLjTevq,Grupo Ternura,41,10448,['cumbia villera']
6wAk3K9nxqR0pTLGLctzQu,Tambó Tambó,51,58868,['cumbia villera']
11YkwFa2HKH9zas2BBRk7O,Mc Drilox,10,12,[]
5ifRgTaaAXxScj0lxS7wHK,Erick Claros,0,1045,[]
5nGv9IXGlZXVyS44GDtttb,Kuzco Music,18,64,[]
0VuXmDxRO9dprPumahA54F,Vero Pérez & Jorge Villanueva,25,2144,['bolivian rock']
6kzbStXNv3dI0ZJEN9mLy2,Aeroplan,9,227,['indie boliviano']
3fGmv8qkimufzbPZfY2QyQ,Marcy La Melodia,27,1665,[]
6CuRf4fFjJk2HXNeXygoeD,Enriqueta Ulloa,30,2191,['andean']
5EQD6Wn15IpwoNBCwzHzgE,Sacrilegio,12,257,"['bolivian metal', 'latin metal']"
3rdPIEXGRnnlMvnZtzoQyp,María Juana,33,7531,['folklore boliviano']
0KIcdsgZ0AzjMHO7kWlT7v,Inkas de Oro,6,1862,['andean']
36yItyZJx0Tw3OpFQADb8z,Camarú,9,249,['indie boliviano']
4cCVNFShP38zaKGuo8QSMN,Inti-Illimani,53,168208,"['andean', 'latin rock', 'nueva cancion', 'trova']"
4DJ8AcSZKLky2Nckx8pTWV,Mc J Rap,32,2124,[]
6bH2XgEcgrZqaG5HLfuNcZ,Anadda,4,28,['bolivian rock']
3t8mzc4McRkE2bbnrQi3cV,Lou-Kass,24,1531,['bolivian rock']
7gs6RrJmRq75GL9PYwCX0L,Grupo Maroyu,1,4347,['cumbia boliviana']
1YKJToMncgtzNmlLyCfoRD,Dúo Sentimiento,26,1777,['folklore boliviano']
0iutktJLkNNtErs8c3EoF6,Los Tekis,53,158471,"['cumbia andina mexicana', 'folclore jujeno', 'folklore argentino']"
7jbCSOX82mkj4BGiIY1IeI,Los Jairas,28,1744,['andean']
31EGT3C2BCW6cqJKijyiHY,Chicas Delfin,3,180,['indie boliviano']
2aswi6sCAE8yRG9LFVKpJi,Código Fher,29,2595,['cumbia boliviana']
54KFE3CMNoh9FsURVmcwlF,La Chiva,15,983,['bolivian rock']
31XQYjxS44AkYTM3b3tK1O,José Luis Cordova,19,101,[]
74pSnYkITpgS26sL4xouhZ,Dúo Hnos. Gaitán Castro,43,71416,"['classic peruvian pop', 'folklore peruano', 'huayno', 'musica ayacuchana']"
3MmfFvTHPmIqVYxy1QQmTg,Juan Enrique Jurado,30,1993,['folklore boliviano']
2dCiQlgtyTpvnbs5X8VGnn,A Pie,24,811,['bolivian rock']
5kTdznt6MSAyjRzHrsw9GQ,Zckrap,34,744,[]
2AAyiqHQQfbJp2QxiTqmz9,Eddy Navia,18,500,"['andean', 'charango']"
4HcGgJfuL2hasQmHIykVF3,Los Ronisch,21,26349,"['cumbia peruana', 'cumbia surena']"
7y0ZJqOnXqbNN1gReruGDi,Cumbia de la Cruz,30,3371,['cumbia boliviana']
49HTD106cs4kqPpCySMgkj,Los Jatun,27,1239,['salay']
5PuMercJBTqJY4c4HdwD5R,RAGGA-KI,3,39,[]
2ev2VET3EXiDz6JrBoyElB,Maldita-Jakeca,12,757,['bolivian rock']
5UAJ2sTvAOJe7fC3y28Gtm,Pacha,28,2945,"['andean', 'folklore boliviano']"
79EmqrbbIDDUQzleucbi1Z,David Castro y America,32,3387,['cumbia boliviana']
5tr9ik6zvne8ykaN5iC7Yk,Carlo Frigeri,27,6019,['indie boliviano']
3SW5LoCfMI2YqNC3dKVPVU,Grupo Bonanza Bolivia,33,5806,"['andean', 'folklore boliviano']"
0KaeXDSguktnlfNC1WEq1k,Los Descendientes,3,310,['cumbia boliviana']
183EnZ5fBjuTcqNalgJ5Fd,THEMPO,22,638,['folklore boliviano']
6yVxbzScbih8Uvyfrdhx17,Jach'a Mallku,31,4698,['andean']
5ywH7cLUGzjUHRxK0ymaqZ,Las Voces De Gerardo Lopez,13,2579,['folklore argentino']
119DPASXtwEkIiAoRSOUR8,Proyección,43,19783,"['andean', 'folklore boliviano']"
7b4FiXD70tUTy79EYPNgwP,Juan Manuel Thorrez,3,1,[]
4VqRr9QKXxeVVVpJoePixr,La Luz Mandarina,11,449,['indie boliviano']
0vvNxX8NjBqBZeJk4Ni3xc,Kala Marka,39,15360,['andean']
1aMjexwwhW1DiFPRX3FlJW,Jackeline,3,13,[]
7Id6e14ndbpmQCA4H5z48t,El Negro Palma,37,6184,['folklore boliviano']
6gauCoBS0QzNXXI3toQikK,Los Tocayos,16,457,['bolivian rock']
2VEYnqfdlSpPemYF3Ddwur,Ignacio Val,18,226,['bolivian rock']
4TwddXfzAu5AYMOles9r7u,Consagrados,0,12,[]
0ubGzO9HMMqNnclsGBnmpX,Los Cholos Andinos,13,511,['andean']
6ONZhCBqGaqvMWk3P1Y137,Los Linces de Bolivia,29,1549,['cumbia boliviana']
0SWtMcmZLgP04Kj5x0eCxa,azul azul,50,16351,['latin pop']
1HQKkzStrRzarGcP2hcWnE,Irreversible Bolivia,8,133,['cumbia boliviana']
3BP6BYaUeLV6OKu1z8Fh5p,Siempre KORY'S,26,1490,['cumbia boliviana']
45MEz7t5DAOmX0o8fFKA3B,Sukay,27,3961,['andean']
7yE1onzMbRs2x0PJtZ667p,Antares,30,758,[]
2KakzjX640aIT7kOSY4CTP,Efecto Mandarina,27,6401,['bolivian rock']
4Csbz9Fc5L9USnnAbyH0oZ,Motel Groove,1,48,[]
3D0ByYZA6guTdfkiN4ZUt9,Kapaj,6,12,[]
7CoQ5eN08elIm8j7cFSP0e,La Logia,28,472,['bolivian rock']
62S3RF9l0ResGis6eMzcND,Grupo Bolivia,26,4976,"['andean', 'folklore boliviano']"
5jXf469U6nrfRT8kiv2XDT,Chuchito Valdes,15,1529,"['charango', 'jazz cubano']"
43qxAkuKFB6fMNSeS5dO7Z,Ana Bárbara,67,510130,"['grupera', 'latin', 'mexican pop', 'ranchera']"
0tkboyBYNymYytYlb9EXkN,Los Kjarkas,56,97077,"['andean', 'charango', 'folklore boliviano']"
0AMd5Lv1a9CTAdLfbIkf8F,Tupay,38,11279,['andean']
0RuOVkTo9B9qaTT9tJD5AF,Banda Z Richard,21,882,['cumbia boliviana']
6sKxxYIo74SVq0e09pNUCT,Icaro,6,157,[]
5HSw372vFrMzaMKcPP0XZI,Miguel Angel ElGenio,14,19,[]
3MCqjNuqAL5Ovan3YZZfL4,Lapsus,1,138,[]
546Ecwa9LZGkp5j8eN21rM,Santiago Laserna,10,303,['indie boliviano']
3JNjJfCFurZgOYfpvj52AI,Karloz de la Torre,11,564,['bolivian rock']
1bwsprbGyKx2vBbPAwVebl,Noche de Brujas,60,329380,"['cumbia chilena', 'cumbia ranchera']"
1WmjCGZ8XqKv6yKvMwP5sL,Prana Reggae,20,1770,['bolivian rock']
4TyDNPmYT1XawRuGJmVdHA,100% Yara,21,321,['salay']
3Rd5uZJK7LV9xnCDIsUxYU,Maya Andina,27,5137,"['andean', 'folklore boliviano']"
5QOjimGl49GNSyWparu0lZ,Ruphay,13,477,"['andean', 'folklore boliviano']"
0TxrCT0QkO6xa1VAhb5AJI,ionse,12,275,"['bolivian rock', 'indie boliviano']"
1kqcnt8DXUkuuRnawXGS38,Avionica,26,4221,"['bolivian rock', 'indie boliviano']"
7jSblm9AFyntbL2366fotr,Así D’ Ron,0,1915,[]
3yDgKSD5aLwGqpWVpwc0iP,Yuri Ortuño,28,5898,['andean']
27aGmZfITo7aGbSFrHwRcE,Electroshock,27,3232,"['bolivian rock', 'indie boliviano']"
3y28X1F1ZxRaXe3JfN4ThJ,Yawarmanta,6,37,[]
6saMD4Q6gBk5LOn2LOyzn2,Banda Militar Boliviana,8,58,[]
71bvN7Y6iJdJJmvzlFImyi,Wapb's,6,140,['bolivian rock']
2y5BDiTXFsZuY5QTLXCtDn,SUMAYA ANDINA,29,2702,"['folklore boliviano', 'salay']"
5n6puNSnNhNNZhxvPxwbQp,Raymi Bolivia,18,1344,['folklore boliviano']
1uvxq0pWC1f55Yg9XmgLnW,Yawar,36,8807,"['andean', 'musica ayacuchana']"
7F9lKQqpQ7PKUnw5SoP1BP,Donato Espinoza,11,517,"['andean', 'charango']"
4S9Tsw7sofNELXL3M99yl2,Astronauta Suburbano,6,270,"['bolivian rock', 'indie boliviano']"
40yzYSCIcREdRV4SuDIDMP,Sumaya,11,48,['salay']
7k6ftK7tgl0a0c2aNKrRD1,Mammut,0,2625,['bolivian rock']
5ZvwK0ZabdNTC4CB4TeqSc,Bolivia,16,600,[]
2NGqxCvEzPD2Xc0G5EZgVh,Yuri Ortuño y la Nueva Proyeccion,14,898,['folklore boliviano']
